Word,file2_col1,file2_col2,file2_col3,file2_col4,file2_col5,file2_col6,file2_col7,file2_col8,file2_col9,file2_col10,file2_col11
## FOUND (past tense of FIND and FOUND establish),## FOUND (past tense of FIND and FOUND establish),,,,,,,,,,
## For example,## For example,the gerund form of verbs are occasionly found in the plural,such as,,,,,,,,
## LEFT (past tense of LEAVE and direction),## LEFT (past tense of LEAVE and direction),,,,,,,,,,
## MINE (pronoun and coal MINE),## MINE (pronoun and coal MINE),,,,,,,,,,
## Please send us a message if you find any homographs we have missed or mistakes we have made.,## Please send us a message if you find any homographs we have missed or mistakes we have made.,,,,,,,,,,
## ROSE (past tense of RISE and flower),## ROSE (past tense of RISE and flower),,,,,,,,,,
## Researchers will have to adjust the list according to the software they use.,## Researchers will have to adjust the list according to the software they use.,,,,,,,,,,
## Therefore all possible gerunds are pluralized even though the possibility of their occurrence,## Therefore all possible gerunds are pluralized even though the possibility of their occurrence,,,,,,,,,,
## This type of corpus analysis often has problems with homographs. In the NGSL,## This type of corpus analysis often has problems with homographs. In the NGSL,,,,,,,,,,
## WOUND (past tense of WIND and injury),## WOUND (past tense of WIND and injury),,,,,,,,,,
## We look at each word as a string of letters and count the frequency of occurrence of the string,## We look at each word as a string of letters and count the frequency of occurrence of the string,,,,,,,,,,
## account for the coverage of a word and all its possible word forms. It is an,## account for the coverage of a word and all its possible word forms. It is an,,,,,,,,,,
## and its inflected forms. For example the gerund form of verbs are occasionally found in the plural.,## and its inflected forms. For example the gerund form of verbs are occasionally found in the plural.,,,,,,,,,,
## attempt to account for all possible inflections of a word based on its part of speech.,## attempt to account for all possible inflections of a word based on its part of speech.,,,,,,,,,,
## buildings and paintings. Therefore all possible gerunds are also pluralized even,## buildings and paintings. Therefore all possible gerunds are also pluralized even,,,,,,,,,,
## for the coverage of the word and all its possible word forms irrespective of meaning sense.,## for the coverage of the word and all its possible word forms irrespective of meaning sense.,,,,,,,,,,
## is very low.,## is very low.,,,,,,,,,,
## these homographs will need further analysis on the part of the researcher. These homograph include:,## these homographs will need further analysis on the part of the researcher. These homograph include:,,,,,,,,,,
## though the possibility of their occurance is very low. Additionally,## though the possibility of their occurance is very low. Additionally,spelling,,,,,,,,,
## variations are also included.,## variations are also included.,,,,,,,,,,
abdominal,abdominal,abdominals,,,,,,,,,
abide,abide,abides,abided,abiding,abidings,,,,,,
absorption,absorption,absorptions,,,,,,,,,
acceleration,acceleration,accelerations,,,,,,,,,
accessory,accessory,accessories,,,,,,,,,
acclaim,acclaim,acclaims,acclaimed,acclaiming,acclaimings,,,,,,
accomplishment,accomplishment,accomplishments,,,,,,,,,
accumulation,accumulation,accumulations,,,,,,,,,
acidic,acidic,acidics,,,,,,,,,
adapter,adapter,adapters,,,,,,,,,
adaptive,adaptive,adaptives,,,,,,,,,
adhere,adhere,adheres,adhered,adhering,adhereing,adhereings,,,,,
advancement,advancement,advancements,,,,,,,,,
advertiser,advertiser,advertisers,,,,,,,,,
advisable,advisable,advisables,,,,,,,,,
aerosol,aerosol,aerosols,,,,,,,,,
affirm,affirm,affirms,affirmed,affirming,affirmings,,,,,,
affirmative,affirmative,affirmatives,,,,,,,,,
airfare,airfare,airfares,,,,,,,,,
aisle,aisle,aisles,,,,,,,,,
algebra,algebra,algebras,,,,,,,,,
algorithm,algorithm,algorithms,,,,,,,,,
allergy,allergy,allergies,,,,,,,,,
altitude,altitude,altitudes,,,,,,,,,
amenity,amenity,amenities,,,,,,,,,
amino,amino,,,,,,,,,,
ample,ample,ampler,,,,,,,,,
amplitude,amplitude,amplitudes,,,,,,,,,
anew,anew,,,,,,,,,,
announcer,announcer,announcers,,,,,,,,,
anthropology,anthropology,anthropologies,,,,,,,,,
anti,anti,antis,,,,,,,,,
antiquity,antiquity,antiquities,,,,,,,,,
anyhow,anyhow,,,,,,,,,,
anytime,anytime,,,,,,,,,,
appendix,appendix,appendices,appendixes,,,,,,,,
appetizer,appetizer,appetizers,,,,,,,,,
applause,applause,,,,,,,,,,
appliance,appliance,appliances,,,,,,,,,
apprehensive,apprehensive,,,,,,,,,,
apprentice,apprentice,apprentices,apprenticed,apprenticing,apprenticings,,,,,,
approximate,approximate,approximates,approximated,approximating,approximatings,,,,,,
approximation,approximation,approximations,,,,,,,,,
arbitrary,arbitrary,,,,,,,,,,
archaeology,archaeology,archaeologies,,,,,,,,,
artwork,artwork,artworks,,,,,,,,,
atomic,atomic,atomics,,,,,,,,,
attendee,attendee,attendees,,,,,,,,,
attire,attire,attires,attired,attiring,attirings,,,,,,
audition,audition,auditions,auditioned,auditioning,auditionings,,,,,,
auditorium,auditorium,auditoriums,,,,,,,,,
authorization,authorization,authorizations,authorisation,authorisations,,,,,,,
automate,automate,automates,automated,automating,automatings,,,,,,
automotive,automotive,,,,,,,,,,
axiom,axiom,axioms,,,,,,,,,
backpack,backpack,backpacks,backpacked,backpacking,backpackings,,,,,,
bacterial,bacterial,bacterials,,,,,,,,,
badge,badge,badges,badged,badging,badgings,,,,,,
baggage,baggage,baggages,,,,,,,,,
baker,baker,bakers,,,,,,,,,
bakery,bakery,bakeries,,,,,,,,,
ballroom,ballroom,ballrooms,,,,,,,,,
bankrupt,bankrupt,bankrupts,bankrupted,bankrupting,bankruptings,,,,,,
banquet,banquet,banquets,banquetted,banqueting,banquetings,,,,,,
barbecue,barbecue,barbecues,barbecued,barbecuing,barbecuings,barbeque,barbeques,barbequed,barbequing,barbequings,bbq
beforehand,beforehand,,,,,,,,,,
beginner,beginner,beginners,,,,,,,,,
beverage,beverage,beverages,,,,,,,,,
binary,binary,binarys,binaries,,,,,,,,
biodiversity,biodiversity,,,,,,,,,,
biologist,biologist,biologists,,,,,,,,,
blueprint,blueprint,blueprints,,,,,,,,,
boardroom,boardroom,boardrooms,,,,,,,,,
bodily,bodily,,,,,,,,,,
bookcase,bookcase,bookcases,,,,,,,,,
booklet,booklet,booklets,,,,,,,,,
bookstore,bookstore,bookstores,,,,,,,,,
booth,booth,booths,,,,,,,,,
brainstorm,brainstorm,brainstorms,brainstormed,brainstorming,brainstormings,,,,,,
briefcase,briefcase,briefcases,,,,,,,,,
broom,broom,brooms,,,,,,,,,
browse,browse,browses,browsed,browsing,browsings,,,,,,
buffet,buffet,buffets,buffetted,buffetting,buffettings,buffeted,buffeting,buffetings,,,
bulletin,bulletin,bulletins,,,,,,,,,
businessperson,businessperson,businesspersons,businesspeople,,,,,,,,
by-law,by-law,by-laws,by law,by laws,,,,,,,
cafeteria,cafeteria,cafeterias,,,,,,,,,
caf�,caf�,caf�s,cafe,cafes,,,,,,,
calculator,calculator,calculators,,,,,,,,,
calculus,calculus,,,,,,,,,,
cancellation,cancellation,cancellations,,,,,,,,,
candy,candy,candies,candied,candying,candyings,,,,,,
capillary,capillary,capillaries,,,,,,,,,
careless,careless,,,,,,,,,,
carpenter,carpenter,carpenters,carpentered,carpentering,carpenterings,,,,,,
carton,carton,cartons,,,,,,,,,
cartridge,cartridge,cartridges,,,,,,,,,
cashier,cashier,cashiers,cashiered,cashiering,cashierings,,,,,,
caterer,caterer,caterers,,,,,,,,,
cellphone,cellphone,cellphones,cell phone,cell phones,,,,,,,
censor,censor,censors,censored,censoring,censorings,,,,,,
centimeter,centimeter,centimeters,centimetre,centimetres,,,,,,,
certification,certification,certifications,,,,,,,,,
certify,certify,certifies,certified,certifying,certifyings,,,,,,
chairperson,chairperson,chairpersons,,,,,,,,,
characterization,characterization,characterizations,characterisation,characterisations,,,,,,,
charitable,charitable,charitables,,,,,,,,,
checkout,checkout,checkouts,,,,,,,,,
checkup,checkup,checkups,,,,,,,,,
cheeseburger,cheeseburger,cheeseburgers,,,,,,,,,
chemotherapy,chemotherapy,chemotherapies,,,,,,,,,
chilly,chilly,chillier,chilliest,,,,,,,,
chloride,chloride,chlorides,,,,,,,,,
circa,circa,,,,,,,,,,
circus,circus,circuses,,,,,,,,,
clap,clap,claps,clapped,clapping,clappings,,,,,,
cleanliness,cleanliness,,,,,,,,,,
clone,clone,clones,cloned,cloning,clonings,,,,,,
closet,closet,closets,closeted,closetting,closettings,,,,,,
cloudy,cloudy,cloudier,cloudiest,,,,,,,,
coefficient,coefficient,coefficients,,,,,,,,,
comb,comb,combs,combed,combing,combings,,,,,,
comfortably,comfortably,,,,,,,,,,
comma,comma,commas,,,,,,,,,
communicative,communicative,,,,,,,,,,
commute,commute,commutes,commuted,commuting,commutings,,,,,,
commuter,commuter,commuters,,,,,,,,,
compartment,compartment,compartments,compartmented,,,,,,,,
complimentary,complimentary,,,,,,,,,,
computation,computation,computations,,,,,,,,,
concierge,concierge,concierges,,,,,,,,,
conditional,conditional,conditionals,,,,,,,,,
conditioner,conditioner,conditioners,,,,,,,,,
condominium,condominium,condominiums,,,,,,,,,
conduction,conduction,,,,,,,,,,
conductor,conductor,conductors,,,,,,,,,
cone,cone,cones,,,,,,,,,
confidential,confidential,confidentials,,,,,,,,,
confound,confound,confounds,confounded,confounding,confoundings,,,,,,
congestion,congestion,congestions,,,,,,,,,
congruent,congruent,,,,,,,,,,
connector,connector,connectors,,,,,,,,,
connotation,connotation,connotations,,,,,,,,,
conserve,conserve,conserves,conserved,conserving,conservings,,,,,,
considerate,considerate,,,,,,,,,,
consignment,consignment,consignments,,,,,,,,,
consonant,consonant,consonants,,,,,,,,,
contestant,contestant,contestants,,,,,,,,,
continental,continental,continentals,,,,,,,,,
contour,contour,contours,contoured,contouring,contourings,,,,,,
contraction,contraction,contractions,,,,,,,,,
contradict,contradict,contradicts,contradicted,contradicting,contradictings,,,,,,
contradictory,contradictory,,,,,,,,,,
conveniently,conveniently,,,,,,,,,,
converge,converge,converges,converged,converging,convergings,,,,,,
convergence,convergence,convergences,,,,,,,,,
cookbook,cookbook,cookbooks,,,,,,,,,
cooler,cooler,coolers,,,,,,,,,
coordinator,coordinator,coordinators,,,,,,,,,
copier,copier,copiers,,,,,,,,,
cordless,cordless,,,,,,,,,,
coronary,coronary,,,,,,,,,,
corpus,corpus,,,,,,,,,,
cortex,cortex,cortexes,cortices,,,,,,,,
cosmetic,cosmetic,cosmetics,,,,,,,,,
coupon,coupon,coupons,,,,,,,,,
courier,courier,couriers,couriered,couriering,courierings,,,,,,
coworker,coworker,coworkers,,,,,,,,,
crane,crane,cranes,craned,craning,cranings,,,,,,
critically,critically,,,,,,,,,,
culinary,culinary,,,,,,,,,,
cumulative,cumulative,,,,,,,,,,
customize,customize,customizes,customized,customizing,customise,customises,customised,customising,customisings,,
cyclic,cyclic,cyclics,,,,,,,,,
cylinder,cylinder,cylinders,,,,,,,,,
daytime,daytime,daytimes,,,,,,,,,
dealership,dealership,dealerships,,,,,,,,,
debit,debit,debits,debited,debiting,debitings,,,,,,
deceive,deceive,deceives,deceived,deceiving,deceivings,,,,,,
dedication,dedication,dedications,,,,,,,,,
deduct,deduct,deducts,deducted,deducting,deductings,,,,,,
deduction,deduction,deductions,,,,,,,,,
defective,defective,,,,,,,,,,
deficiency,deficiency,deficiencies,,,,,,,,,
deflection,deflection,deflections,,,,,,,,,
degrade,degrade,degrades,degraded,degrading,degradings,,,,,,
delta,delta,deltas,,,,,,,,,
deluxe,deluxe,,,,,,,,,,
demolish,demolish,demolishes,demolished,demolishing,demolishings,,,,,,
demonstrator,demonstrator,demonstrators,,,,,,,,,
denominator,denominator,denominators,,,,,,,,,
dental,dental,dentals,,,,,,,,,
departmental,departmental,departmentals,,,,,,,,,
dependable,dependable,dependables,,,,,,,,,
descendent,descendent,descendents,,,,,,,,,
descriptive,descriptive,,,,,,,,,,
descriptor,descriptor,descriptors,,,,,,,,,
dessert,dessert,desserts,,,,,,,,,
detach,detach,detaches,detached,detaching,detachings,,,,,,
detection,detection,detections,,,,,,,,,
deviation,deviation,deviations,,,,,,,,,
diagnostic,diagnostic,diagnostics,,,,,,,,,
differentiation,differentiation,differentiations,,,,,,,,,
diffusion,diffusion,diffusions,,,,,,,,,
dilute,dilute,dilutes,diluted,diluting,dilutings,,,,,,
dimensional,dimensional,dimensionals,,,,,,,,,
diner,diner,diners,,,,,,,,,
diploma,diploma,diplomas,,,,,,,,,
disconnect,disconnect,disconnects,disconnected,disconnecting,disconnectings,,,,,,
discontinue,discontinue,discontinues,discontinued,discontinuing,discontinuings,,,,,,
discrepancy,discrepancy,discrepancies,,,,,,,,,
discrete,discrete,,,,,,,,,,
dishwasher,dishwasher,dishwashers,,,,,,,,,
displacement,displacement,displacements,,,,,,,,,
disruption,disruption,disruptions,,,,,,,,,
dissatisfy,dissatisfy,dissatisfied,dissatisfies,dissatisfying,dissatisfyings,,,,,,
dissection,dissection,dissections,,,,,,,,,
dissertation,dissertation,dissertations,,,,,,,,,
distraction,distraction,distractions,,,,,,,,,
distractor,distractor,distractors,distracter,distracters,,,,,,,
domination,domination,dominations,,,,,,,,,
donut,donut,donuts,doughnuts,doughnut,,,,,,,
doorman,doorman,doormen,,,,,,,,,
downsize,downsize,downsizes,downsized,downsizing,downsizings,,,,,,
downturn,downturn,downturns,,,,,,,,,
drastically,drastically,,,,,,,,,,
duplicate,duplicate,duplicates,duplicated,duplicating,duplicatings,,,,,,
durable,durable,durables,,,,,,,,,
dye,dye,dyes,dyed,dyeing,dyeings,,,,,,
e-book,e-book,e-books,e book,e books,ebook,ebooks,,,,,
ecological,ecological,ecologicals,,,,,,,,,
ecology,ecology,ecologies,,,,,,,,,
economical,economical,economicals,,,,,,,,,
economize,economize,economizes,economized,economizing,economise,economises,economised,economising,economisings,,
elastic,elastic,elastics,,,,,,,,,
elasticity,elasticity,elasticities,,,,,,,,,
electrician,electrician,electricians,,,,,,,,,
electronically,electronically,,,,,,,,,,
elevation,elevation,elevations,,,,,,,,,
elevator,elevator,elevators,,,,,,,,,
elimination,elimination,eliminations,,,,,,,,,
emit,emit,emits,emitted,emitting,emittings,,,,,,
emperor,emperor,emperors,,,,,,,,,
encode,encode,encodes,encoded,encoding,encodings,,,,,,
energetic,energetic,energetics,,,,,,,,,
enormously,enormously,,,,,,,,,,
enrollment,enrollment,enrollments,enrolments,enrolment,,,,,,,
enthusiast,enthusiast,enthusiasts,,,,,,,,,
enthusiastically,enthusiastically,,,,,,,,,,
entrant,entrant,entrants,,,,,,,,,
entr�e,entr�e,entr�es,entree,entrees,,,,,,,
environmentally,environmentally,,,,,,,,,,
epidemiology,epidemiology,epidemiologies,,,,,,,,,
equivalence,equivalence,equivalences,,,,,,,,,
erase,erase,erases,erased,erasing,erasings,,,,,,
escalator,escalator,escalators,,,,,,,,,
estimation,estimation,estimations,,,,,,,,,
evacuate,evacuate,evacuates,evacuated,evacuating,evacuatings,,,,,,
evenly,evenly,,,,,,,,,,
excellence,excellence,excellences,,,,,,,,,
excursion,excursion,excursions,,,,,,,,,
exemption,exemption,exemptions,,,,,,,,,
expedite,expedite,expedited,,,,,,,,,
expiration,expiration,,,,,,,,,,
explanatory,explanatory,,,,,,,,,,
explorer,explorer,explorers,,,,,,,,,
exponential,exponential,exponentials,,,,,,,,,
extinguisher,extinguisher,extinguishers,,,,,,,,,
facet,facet,facets,faceted,faceting,facetings,,,,,,
factorial,factorial,factorials,,,,,,,,,
factual,factual,factuals,,,,,,,,,
familiarity,familiarity,familiarities,,,,,,,,,
familiarize,familiarize,familiarizes,familiarized,familiarizing,familiarise,familiarises,familiarised,familiarising,familiarisings,,
farewell,farewell,farewells,,,,,,,,,
fasten,fasten,fastens,fastened,fastening,fastenings,,,,,,
fatigue,fatigue,fatigues,fatigued,fatiguing,fatiguings,,,,,,
faulty,faulty,,,,,,,,,,
fetal,fetal,foetal,,,,,,,,,
fin,fin,fins,finned,finning,finnings,,,,,,
finalize,finalize,finalizes,finalized,finalizing,finalise,finalises,finalised,finalising,finalisings,,
