Word,Tokenization
 aerosol,Ġaeros ol
 archaeology,Ġarchae ology
 axiom,Ġax iom
 capillary,Ġcap illary
 communicative,Ġcommun icative
 conduction,Ġcon duction
 confine,Ġconf ine
 confound,Ġconf ound
 congruent,Ġcon gru ent
 connotation,Ġcon notation
 consonant,Ġconson ant
 constrain,Ġconst rain
 contour,Ġcont our
 cyclic,Ġcycl ic
 deflection,Ġdef lection
 demonstrator,Ġdemonstr ator
 denominator,Ġdenomin ator
 descendent,Ġdescend ent
 dilute,Ġdil ute
 dissection,Ġdis section
 elasticity,Ġelastic ity
 entrant,Ġent rant
 epidemiology,Ġepidem iology
 equivalence,Ġequival ence
 factorial,Ġfact orial
 founds,Ġfound s
 generalization,Ġgeneral ization
 generalize,Ġgeneral ize
 grammatical,Ġgram matical
 handout,Ġhand out
 headquarter,Ġhead quarter
 helix,Ġhel ix
 herbicide,Ġherb icide
 incline,Ġincl ine
 industrialization,Ġindustrial ization
 industrialize,Ġindustrial ize
 inversion,Ġin version
 invert,Ġin vert
 kilometer,Ġkilomet er
 lexical,Ġlex ical
 linguistics,Ġlingu istics
 locus,Ġloc us
 mediate,Ġmed iate
 memorize,Ġmemor ize
 millimeter,Ġmill imeter
 morphological,Ġmorph ological
 nonlinear,Ġnon linear
 oscillation,Ġoscill ation
 oxidize,Ġoxid ize
 parenthesis,Ġparent hesis
 phonological,Ġphon ological
 postgraduate,Ġpost graduate
 precede,Ġpreced e
 precipitate,Ġprecip itate
 proton,Ġpro ton
 randomize,Ġrandom ize
 secrete,Ġsec rete
 sneeze,Ġsne e ze
 socialize,Ġsocial ize
 solute,Ġsol ute
 sophisticate,Ġsophistic ate
 splice,Ġspl ice
 standardize,Ġstandard ize
 syllable,Ġsyll able
 syllabus,Ġsyll abus
 syntactic,Ġsynt actic
 transcribe,Ġtransc ribe
 unify,Ġun ify
 unintelligible,Ġunint ellig ible
 uplift,Ġupl ift
 utterance,Ġutter ance
 volition,Ġvol ition
 amaze,Ġam aze
 excite,Ġexc ite
 fascinate,Ġfasc inate
 firstly,Ġfirst ly
